index,job_title,rating,company,location,headquarters,size,ownership,sector,salary_start,salary_end,location_state
627,Data Scientist,4.6,"Murray Resources
4.6","The Woodlands, TX","Houston, TX",1 to 50 employees,Company - Private,Business Services,87000,141000, TX
210,Data Scientist,3.4,"Dice.com
3.4","Newton, MA","Denver, CO",201 to 500 employees,Subsidiary or Business Segment,Business Services,79000,106000, MA
211,Data Scientist,3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,Company - Public,Aerospace & Defense,79000,106000, VA
212,Data Scientist,5.0,"Phoenix Operations Group
5.0","Baltimore, MD","Woodbine, MD",1 to 50 employees,Company - Private,Information Technology,79000,106000, MD
215,Data Scientist,4.0,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,79000,106000, MD
241,Data Scientist,4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,Company - Private,Insurance,90000,124000, WI
221,Data Scientist,4.3,"PulsePoint
4.3","New York, NY","New York, NY",51 to 200 employees,Company - Private,Information Technology,71000,123000, NY
222,Data Scientist,4.2,"LSQ
4.2","Orlando, FL","Orlando, FL",51 to 200 employees,Company - Private,Finance,71000,123000, FL
224,Data Scientist,3.6,"Opendoor
3.6","San Francisco, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Real Estate,71000,123000, CA
669,Data Scientist,0,AccessHope,"Irwindale, CA",Unknown,Unknown,Unknown,Unknown,105000,167000, CA
331,Other,3.7,"Blue Cross and Blue Shield of North Carolina
3.7","Durham, NC","Durham, NC",1001 to 5000 employees,Company - Private,Insurance,79000,147000, NC
225,Data Scientist,4.5,"Global Data Management Inc
4.5","Hartford, CT","Woodbridge, NJ",51 to 200 employees,Company - Private,Information Technology,71000,123000, CT
226,Data Scientist,3.0,"Photon Infotech
3.0","Chicago, IL","Chennai, India",1001 to 5000 employees,Company - Private,Information Technology,71000,123000, IL
243,Data Scientist,3.6,"Gigya
3.6","Palo Alto, CA","Mountain View, CA",201 to 500 employees,Company - Private,Information Technology,90000,124000, CA
480,Data Scientist,4.7,"Praxis Engineering
4.7","Chantilly, VA","Annapolis Junction, MD",201 to 500 employees,Subsidiary or Business Segment,Information Technology,31000,56000, VA
347,Data Engineer,3.5,"Western Digital
3.5","San Jose, CA","San Jose, CA",10000+ employees,Company - Public,Information Technology,122000,146000, CA
248,Data Scientist,4.3,"Descript
4.3","San Francisco, CA","Houston, TX",1 to 50 employees,Company - Private,Unknown,90000,124000, CA
193,Data Scientist,5.0,"SkillSoniq
5.0","San Francisco, CA","Jersey City, NJ",Unknown,Company - Public,Unknown,56000,97000, CA
641,Data Scientist,4.7,"Unicom Technologies INC
4.7","Chicago, IL","Naperville, IL",51 to 200 employees,Company - Private,Information Technology,92000,155000, IL
648,Data Scientist,4.7,"Compass Consulting Group
4.7","Thousand Oaks, CA","Danville, CA",51 to 200 employees,Company - Private,Business Services,92000,155000, CA
652,Data Scientist,3.8,"GutCheck
3.8","Denver, CO","Denver, CO",51 to 200 employees,Company - Private,Business Services,105000,167000, CO
653,Data Scientist,3.8,"Juniper Networks
3.8","Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,Company - Public,Telecommunications,105000,167000, CA
654,Data Scientist,2.7,"Hexagon US Federal
2.7","Lexington Park, MD","Chantilly, VA",51 to 200 employees,Company - Public,Aerospace & Defense,105000,167000, MD
655,Data Scientist,4.0,"Comtech Global Inc
4.0","Washington, DC","Columbus, OH",51 to 200 employees,Company - Private,Consumer Services,105000,167000, DC
657,Data Scientist,0,Kehe Food Distributors,"Naperville, IL",Unknown,Unknown,Unknown,Unknown,105000,167000, IL
658,Data Scientist,3.8,"Aveshka, Inc.
3.8","Washington, DC","Arlington, VA",51 to 200 employees,Company - Public,Information Technology,105000,167000, DC
659,Data Scientist,3.2,"Perspecta
3.2","Adelphi, MD","Chantilly, VA",10000+ employees,Company - Public,Aerospace & Defense,105000,167000, MD
195,Data Scientist,4.3,"Joby Aviation
4.3","San Carlos, CA","Santa Cruz, CA",51 to 200 employees,Company - Private,Unknown,56000,97000, CA
476,Data Scientist,4.5,"Radiant Digital
4.5","Washington, DC","New York, NY",1 to 50 employees,Company - Private,Unknown,31000,56000, DC
