index,job_title,rating,company,location,headquarters,size,ownership,sector,salary_start,salary_end,location_state
467,Machine Learning Scientist,3.3,"Tempus Labs
3.3","Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,31000,56000, IL
399,Other,4.5,"Systems & Technology Research
4.5","Woburn, MA","Woburn, MA",201 to 500 employees,Company - Private,Aerospace & Defense,110000,163000, MA
567,Machine Learning Engineer,3.9,"Temboo
3.9","New York, NY","New York, NY",1 to 50 employees,Company - Private,Information Technology,128000,201000, NY
563,Other,4.0,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Information Technology,128000,201000, CA
509,Data Scientist,4.0,"AstraZeneca
4.0","Wilmington, DE","Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,212000,331000, DE
68,Machine Learning Scientist,3.3,"Tempus Labs
3.3","Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,79000,131000, IL
463,Data Analyst,3.8,"Dermalogica
3.8","Carson, CA","Carson, CA",201 to 500 employees,Subsidiary or Business Segment,Manufacturing,69000,116000, CA
469,Other,3.9,"7Park Data
3.9","New York, NY","New York, NY",51 to 200 employees,Company - Private,Business Services,31000,56000, NY
348,Data Scientist,2.9,"Shimento, Inc.
2.9","Santa Clara, CA","Benicia, CA",1 to 50 employees,Company - Private,Unknown,122000,146000, CA
605,Data Scientist,4.0,"Lorven Technologies Inc
4.0","New York, NY","Plainsboro, NJ",1 to 50 employees,Company - Private,Accounting & Legal,80000,132000, NY
479,Data Analyst,2.9,"Quest Integrity
2.9","Tulsa, OK","Kent, WA",201 to 500 employees,Company - Public,"Oil, Gas, Energy & Utilities",31000,56000, OK
472,Data Engineer,3.5,"Western Digital
3.5","San Jose, CA","San Jose, CA",10000+ employees,Company - Public,Information Technology,31000,56000, CA
470,Other,3.7,"Protolabs
3.7","Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,Company - Public,Manufacturing,31000,56000, MN
309,Data Scientist,3.4,"ASRC Federal Holding Company
3.4","Reston, VA","Beltsville, MD",5001 to 10000 employees,Company - Private,Aerospace & Defense,145000,225000, VA
313,Data Scientist,3.5,"Cambridge FX
3.5","Atlanta, GA","Toronto, Canada",201 to 500 employees,Company - Public,Finance,145000,225000, GA
314,Data Scientist,3.8,"Metromile
3.8","San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Insurance,145000,225000, CA
315,Data Scientist,3.9,"Criteo
3.9","Ann Arbor, MI","Paris, France",1001 to 5000 employees,Company - Public,Information Technology,145000,225000, MI
386,Data Scientist,3.8,"GutCheck
3.8","Denver, CO","Denver, CO",51 to 200 employees,Company - Private,Business Services,110000,163000, CO
484,Other,4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD",5001 to 10000 employees,Nonprofit Organization,Aerospace & Defense,31000,56000, MD
428,Data Scientist,3.5,"Benson Hill
3.5","Saint Louis, MO","Saint Louis, MO",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,79000,133000, MO
327,Data Scientist,3.3,"Huxley
3.3","San Francisco, CA","London, United Kingdom",201 to 500 employees,Company - Private,Business Services,79000,147000, CA
328,Data Scientist,3.4,"FM Systems
3.4","Boston, MA","Raleigh, NC",51 to 200 employees,Company - Private,Information Technology,79000,147000, MA
333,Data Scientist,5.0,"SSATI
5.0","McLean, VA","Annapolis Junction, MD",1 to 50 employees,Company - Private,Information Technology,79000,147000, VA
334,Data Scientist,3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,79000,147000, MA
336,Data Scientist,3.3,"The Davey Tree Expert Company
3.3","Kent, OH","Kent, OH",10000+ employees,Self-employed,Agriculture & Forestry,79000,147000, OH
337,Data Scientist,4.6,"Centauri
4.6","Reston, VA","Chantilly, VA",501 to 1000 employees,Company - Private,Aerospace & Defense,79000,147000, VA
329,Data Scientist,0,B4Corp,"Reston, VA","Leesburg, VA",51 to 200 employees,Company - Private,Information Technology,79000,147000, VA
335,Data Scientist,3.4,"Solving IT International Inc
3.4","Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Private,Unknown,79000,147000, IL
338,Data Scientist,0,Stride Search,"San Francisco, CA","Westlake Village, CA",1 to 50 employees,Company - Private,Unknown,79000,147000, CA
523,Other,3.9,"Southwest Research Institute
3.9","Dayton, OH","San Antonio, TX",1001 to 5000 employees,Nonprofit Organization,Business Services,212000,331000, OH
450,Data Scientist,3.2,"Net2Source Inc.
3.2","Alpharetta, GA","Somerset, NJ",1001 to 5000 employees,Company - Private,Business Services,69000,116000, GA
451,Data Scientist,3.2,"The Trade Desk
3.2","Boulder, CO","Ventura, CA",1001 to 5000 employees,Company - Public,Information Technology,69000,116000, CO
556,Machine Learning Scientist,3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,128000,201000, CA
552,Data Analyst,3.6,"Twitch
3.6","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Subsidiary or Business Segment,Information Technology,128000,201000, CA
558,Data Analyst,3.8,"NYSTEC
3.8","New York, NY","Rome, NY",51 to 200 employees,Nonprofit Organization,Business Services,128000,201000, NY
548,Data Engineer,4.0,"Travelers
4.0","Hartford, CT","Hartford, CT",10000+ employees,Company - Public,Insurance,66000,112000, CT
542,Other,3.9,"Southwest Research Institute
3.9","San Antonio, TX","San Antonio, TX",1001 to 5000 employees,Nonprofit Organization,Business Services,66000,112000, TX
544,Other,3.7,"MassMutual
3.7","Boston, MA","Springfield, MA",5001 to 10000 employees,Company - Private,Insurance,66000,112000, MA
553,Other,4.7,"New Relic
4.7","Portland, OR","San Francisco, CA",1001 to 5000 employees,Company - Public,Information Technology,128000,201000, OR
86,Data Analyst,2.6,"Comprehensive Healthcare
2.6","Yakima, WA","Yakima, WA",501 to 1000 employees,Nonprofit Organization,Health Care,79000,131000, WA
554,Other,3.6,"Biogen
3.6","Cambridge, MA","Cambridge, MA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,128000,201000, MA
126,Data Scientist,4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO",51 to 200 employees,Company - Private,Information Technology,90000,109000, MO
127,Data Scientist,3.6,"XSELL Technologies
3.6","Chicago, IL","Chicago, IL",51 to 200 employees,Company - Private,Information Technology,90000,109000, IL
560,Data Engineer,4.5,"Kingfisher Systems
4.5","Falls Church, VA","Falls Church, VA",51 to 200 employees,Company - Private,Government,128000,201000, VA
565,Data Engineer,4.1,"CaptiveAire
4.1","Raleigh, NC","Raleigh, NC",1001 to 5000 employees,Company - Private,Manufacturing,128000,201000, NC
576,Data Analyst,4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA",501 to 1000 employees,Company - Private,Information Technology,138000,158000, VA
572,Machine Learning Engineer,4.2,"AeroVironment
4.2","Simi Valley, CA","Simi Valley, CA",501 to 1000 employees,Company - Public,Aerospace & Defense,138000,158000, CA
574,Other,4.0,"Dynetics
4.0","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,Company - Private,Aerospace & Defense,138000,158000, AL
375,Data Scientist,4.4,"Eliassen Group
4.4","Plano, TX","Reading, MA",1001 to 5000 employees,Company - Private,Business Services,112000,116000, TX
377,Data Scientist,3.5,"Evolve Vacation Rental
3.5","Denver, CO","Denver, CO",201 to 500 employees,Company - Private,Travel & Tourism,112000,116000, CO
452,Data Scientist,3.7,"IBM
3.7","Atlanta, GA","Armonk, NY",10000+ employees,Company - Public,Information Technology,69000,116000, GA
453,Data Scientist,4.4,"Knowesis Inc.
4.4","Falls Church, VA","Fairfax, VA",51 to 200 employees,Company - Private,Business Services,69000,116000, VA
378,Data Scientist,3.8,"AgreeYa Solutions
3.8","Thousand Oaks, CA","Folsom, CA",1001 to 5000 employees,Company - Private,Information Technology,112000,116000, CA
385,Data Scientist,4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,Company - Private,Information Technology,110000,163000, MA
396,Data Scientist,4.3,"Visionary Integration Professionals
4.3","Washington, DC","Folsom, CA",501 to 1000 employees,Company - Private,Information Technology,110000,163000, DC
174,Data Analyst,3.3,"Midland Credit Management
3.3","San Diego, CA","San Diego, CA",1001 to 5000 employees,Subsidiary or Business Segment,Finance,101000,165000, CA
622,Data Engineer,3.5,"Alignment Healthcare
3.5","Orange, CA","Orange, CA",501 to 1000 employees,Company - Private,Health Care,87000,141000, CA
182,Data Scientist,3.5,"Argo Group US
3.5","New York, NY","Hamilton, Bermuda",1001 to 5000 employees,Company - Public,Insurance,56000,97000, NY
189,Data Scientist,3.6,"Constant Contact
3.6","Waltham, MA","Waltham, MA",Unknown,Subsidiary or Business Segment,Business Services,56000,97000, MA
192,Data Scientist,4.0,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,56000,97000, MD
638,Data Scientist,3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,Company - Public,Aerospace & Defense,92000,155000, VA
425,Data Scientist,0,Microagility,"New York, NY","Princeton, NJ",1 to 50 employees,Company - Private,Business Services,124000,198000, NY
436,Data Scientist,5.0,"VANTA Partners
5.0","Open Fork, VA","Clifton Park, NY",1 to 50 employees,Company - Private,Business Services,79000,133000, VA
12,Data Scientist,3.7,"PNNL
3.7","Richland, WA","Richland, WA",1001 to 5000 employees,Government,"Oil, Gas, Energy & Utilities",137000,171000, WA
14,Data Scientist,3.4,"Mathematica Policy Research
3.4","Washington, DC","Princeton, NJ",1001 to 5000 employees,Company - Private,Business Services,137000,171000, DC
15,Data Scientist,4.4,"Guzman & Griffin Technologies (GGTI)
4.4","Washington, DC","Mays Landing, NJ",1 to 50 employees,Company - Private,Government,137000,171000, DC
664,Data Scientist,0,Clear Ridge Defense,"Quantico, VA","Baltimore, MD",1 to 50 employees,Company - Private,Unknown,105000,167000, VA
433,Data Scientist,3.6,"DataLab USA
3.6","Germantown, MD","Germantown, MD",51 to 200 employees,Company - Private,Information Technology,79000,133000, MD
443,Data Scientist,4.1,"DCS Corp
4.1","Hampton, VA","Alexandria, VA",1001 to 5000 employees,Company - Private,Business Services,79000,133000, VA
444,Data Scientist,2.1,"Hive (CA)
2.1","San Francisco, CA","Los Angeles, CA",Unknown,Company - Private,Telecommunications,79000,133000, CA
455,Data Scientist,3.3,"The Davey Tree Expert Company
3.3","Kent, OH","Kent, OH",10000+ employees,Self-employed,Agriculture & Forestry,69000,116000, OH
492,Data Scientist,3.4,"Dice.com
3.4","Newton, MA","Denver, CO",201 to 500 employees,Subsidiary or Business Segment,Business Services,95000,119000, MA
441,Data Scientist,5.0,"Maxiom
5.0","Ashburn, VA","Ashburn, VA",1 to 50 employees,Company - Public,Unknown,79000,133000, VA
529,Data Scientist,4.9,"The Mom Project
4.9","Longmont, CO","Chicago, IL",1 to 50 employees,Company - Private,Business Services,66000,112000, CO
541,Data Scientist,3.7,"Carolina Power & Light Co
3.7","McLean, VA","Raleigh, NC",5001 to 10000 employees,Subsidiary or Business Segment,"Oil, Gas, Energy & Utilities",66000,112000, VA
625,Data Scientist,3.0,"TransVoyant
3.0","Alexandria, VA","Alexandria, VA",51 to 200 employees,Company - Private,Information Technology,87000,141000, VA
626,Data Scientist,4.0,"Noblis
4.0","Bridgeport, WV","Reston, VA",1001 to 5000 employees,Nonprofit Organization,Business Services,87000,141000, WV
543,Data Scientist,3.9,"Brillient
3.9","Silver Spring, MD","Reston, VA",501 to 1000 employees,Company - Private,Information Technology,66000,112000, MD
594,Data Scientist,3.9,"GSK
3.9","Collegeville, PA","Brentford, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,80000,132000, PA
595,Data Scientist,3.8,"CIA
3.8","Washington, DC","Langley, VA",Unknown,Government,Government,80000,132000, DC
614,Data Scientist,3.2,"First Health Group
3.2","Wellesley, MA","Bethesda, MD",10000+ employees,Company - Private,Insurance,87000,141000, MA
628,Data Scientist,4.3,"Geotab
4.3","Oakville, CA","Oakville, Canada",1001 to 5000 employees,Company - Private,Information Technology,87000,141000, CA
7,Data Scientist,3.5,"iRobot
3.5","Bedford, MA","Bedford, MA",1001 to 5000 employees,Company - Public,Retail,137000,171000, MA
111,Data Analyst,4.9,"Big Huge Games
4.9","Timonium, MD","Lutherville Timonium, MD",51 to 200 employees,Subsidiary or Business Segment,Media,99000,132000, MD
119,Data Engineer,4.8,"GetWellNetwork
4.8","Bethesda, MD","Bethesda, MD",201 to 500 employees,Company - Private,Health Care,99000,132000, MD
116,Other,4.0,"ClearEdge
4.0","Annapolis Junction, MD","Annapolis Junction, MD",51 to 200 employees,Company - Private,Information Technology,99000,132000, MD
128,Data Engineer,4.2,"IZEA
4.2","Winter Park, FL","Winter Park, FL",51 to 200 employees,Company - Public,Business Services,90000,109000, FL
630,Data Scientist,3.7,"EGlobalTech
3.7","Arlington, VA","Vienna, VA",201 to 500 employees,Company - Private,Information Technology,87000,141000, VA
631,Data Scientist,3.9,"Mars
3.9","New York, NY","Mc Lean, VA",10000+ employees,Company - Private,Manufacturing,92000,155000, NY
635,Data Scientist,3.5,"Blackstone Talent Group
3.5","San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Business Services,92000,155000, CA
639,Data Scientist,3.0,"Moxie Software
3.0","Bellevue, WA","San Bruno, CA",51 to 200 employees,Company - Private,Information Technology,92000,155000, WA
640,Data Scientist,5.0,"Blue Horizon Tek Solutions
5.0","New York, NY","Coconut Creek, FL",1 to 50 employees,Company - Private,Business Services,92000,155000, NY
643,Data Scientist,3.3,"Tokio Marine HCC
3.3","Houston, TX","Houston, TX",1001 to 5000 employees,Company - Private,Insurance,92000,155000, TX
644,Data Scientist,3.5,"CACI International
3.5","Chantilly, VA","Arlington, VA",10000+ employees,Company - Public,Aerospace & Defense,92000,155000, VA
651,Data Scientist,4.0,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,92000,155000, MD
665,Data Scientist,3.8,"Criterion Systems, Inc.
3.8","Vienna, VA","Vienna, VA",201 to 500 employees,Company - Private,Information Technology,105000,167000, VA
666,Data Scientist,4.0,"Foundation Medicine
4.0","Boston, MA","Cambridge, MA",1001 to 5000 employees,Company - Public,Biotech & Pharmaceuticals,105000,167000, MA
667,Data Scientist,3.6,"TRANZACT
3.6","Fort Lee, NJ","Fort Lee, NJ",1001 to 5000 employees,Company - Private,Business Services,105000,167000, NJ
121,Data Engineer,4.7,"Scoop
4.7","San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Information Technology,99000,132000, CA
123,Data Engineer,4.2,"IZEA
4.2","Winter Park, FL","Winter Park, FL",51 to 200 employees,Company - Public,Business Services,99000,132000, FL
188,Other,4.2,"Ntrepid
4.2","Herndon, VA","Herndon, VA",201 to 500 employees,Company - Private,Information Technology,56000,97000, VA
494,Data Scientist,4.7,"Tygart Technology, Inc
4.7","Washington, DC","Fairmont, WV",1 to 50 employees,Company - Private,Unknown,95000,119000, DC
531,Data Scientist,5.0,"JCD Staffing
5.0","Washington, DC","Germantown, MD",1 to 50 employees,Company - Private,Unknown,66000,112000, DC
447,Data Scientist,4.0,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Information Technology,69000,116000, CA
454,Data Scientist,3.1,"MoTek Technologies
3.1","Mountain View, CA","San Jose, CA",1 to 50 employees,Company - Private,Information Technology,69000,116000, CA
456,Data Scientist,3.5,"HPOne
3.5","Trumbull, CT","Trumbull, CT",501 to 1000 employees,Company - Private,Insurance,69000,116000, CT
457,Data Scientist,0,Stride Search,"San Francisco, CA","Westlake Village, CA",1 to 50 employees,Company - Private,Unknown,69000,116000, CA
460,Data Scientist,2.7,"TBWA\Chiat\Day
2.7","New York, NY","New York, NY",1001 to 5000 employees,Company - Public,Business Services,69000,116000, NY
461,Data Scientist,3.5,"ThreeBridge Solutions
3.5","Alpharetta, GA","Minneapolis, MN",501 to 1000 employees,Company - Private,Business Services,69000,116000, GA
464,Data Scientist,4.2,"Centraprise
4.2","Foster City, CA","Edison, NJ",51 to 200 employees,Company - Private,Information Technology,69000,116000, CA
465,Data Scientist,4.8,"TechProjects
4.8","New York, NY","North Brunswick, NJ",1 to 50 employees,Company - Private,Information Technology,69000,116000, NY
466,Data Scientist,4.2,"DW Simpson
4.2","Frederick, MD","Chicago, IL",51 to 200 employees,Company - Private,Business Services,69000,116000, MD
468,Data Scientist,4.0,"Grid Dynamics
4.0","Santa Clara, CA","San Ramon, CA",1001 to 5000 employees,Company - Private,Information Technology,31000,56000, CA
471,Data Scientist,3.9,"LinQuest
3.9","Colorado Springs, CO","Los Angeles, CA",501 to 1000 employees,Company - Private,Aerospace & Defense,31000,56000, CO
482,Data Scientist,3.9,"Apex Systems
3.9","San Francisco, CA","Glen Allen, VA",1001 to 5000 employees,Subsidiary or Business Segment,Business Services,31000,56000, CA
485,Data Scientist,4.9,"Cambridge Mobile Telematics
4.9","Cambridge, MA","Cambridge, MA",1 to 50 employees,Company - Private,Information Technology,31000,56000, MA
486,Data Scientist,5.0,"Phoenix Operations Group
5.0","Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,Company - Private,Information Technology,31000,56000, MD
487,Data Scientist,3.3,"Tempus Labs
3.3","Redwood City, CA","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,95000,119000, CA
488,Data Scientist,3.5,"The Knot Worldwide
3.5","Washington, DC","Chevy Chase, MD",1001 to 5000 employees,Company - Private,Information Technology,95000,119000, DC
502,Data Scientist,4.0,"New York Technology Partners
4.0","Seattle, WA","Jersey City, NJ",51 to 200 employees,Company - Private,Information Technology,95000,119000, WA
8,Data Scientist,4.4,"Intuit - Data
4.4","San Diego, CA","Mountain View, CA",5001 to 10000 employees,Company - Public,Information Technology,137000,171000, CA
10,Data Scientist,4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA",501 to 1000 employees,Company - Private,Information Technology,137000,171000, VA
138,Data Analyst,4.5,"Envision LLC
4.5","San Francisco, CA","Saint Louis, MO",201 to 500 employees,Company - Private,Business Services,90000,109000, CA
139,Data Engineer,4.8,"AppLovin
4.8","Palo Alto, CA","Palo Alto, CA",201 to 500 employees,Company - Private,Media,90000,109000, CA
141,Data Engineer,3.7,"Relativity
3.7","Chicago, IL","Chicago, IL",1001 to 5000 employees,Company - Private,Information Technology,90000,109000, IL
489,Data Scientist,3.5,"Crossover Health
3.5","San Clemente, CA","Aliso Viejo, CA",1 to 50 employees,Company - Private,Health Care,95000,119000, CA
501,Data Scientist,4.6,"Murray Resources
4.6","The Woodlands, TX","Houston, TX",1 to 50 employees,Company - Private,Business Services,95000,119000, TX
503,Data Scientist,4.0,"Two95 International Inc.
4.0","Chicago, IL","Cherry Hill, NJ",1 to 50 employees,Company - Private,Business Services,95000,119000, IL
505,Data Scientist,4.7,"CRS Group
4.7","Chicago, IL","Itasca, IL",51 to 200 employees,Company - Private,Business Services,95000,119000, IL
506,Data Scientist,3.5,"Blackstone Talent Group
3.5","San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Business Services,95000,119000, CA
507,Data Scientist,5.0,"Phoenix Operations Group
5.0","Baltimore, MD","Woodbine, MD",1 to 50 employees,Company - Private,Information Technology,95000,119000, MD
508,Data Scientist,4.1,"Roche
4.1","Pleasanton, CA","Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,212000,331000, CA
534,Data Scientist,3.4,"MILVETS Systems Technology, Inc.
3.4","Patuxent, Anne Arundel, MD","Orlando, FL",51 to 200 employees,Company - Private,Information Technology,66000,112000, Anne Arundel
624,Data Scientist,3.6,"ISYS Technologies, Inc.
3.6","Herndon, VA","Littleton, CO",51 to 200 employees,Company - Private,Information Technology,87000,141000, VA
536,Data Scientist,4.1,"Kforce
4.1","Fairfax, VA","Tampa, FL",10000+ employees,Company - Public,Business Services,66000,112000, VA
537,Data Scientist,3.5,"Evolve Vacation Rental
3.5","Denver, CO","Denver, CO",201 to 500 employees,Company - Private,Travel & Tourism,66000,112000, CO
540,Data Scientist,3.8,"AgreeYa Solutions
3.8","Thousand Oaks, CA","Folsom, CA",1001 to 5000 employees,Company - Private,Information Technology,66000,112000, CA
545,Data Scientist,2.9,"Xator Corporation
2.9","Washington, DC","Reston, VA",501 to 1000 employees,Contract,Information Technology,66000,112000, DC
546,Data Scientist,4.6,"HAN IT Staffing Inc.
4.6","New York, NY","Totowa, NJ",51 to 200 employees,Company - Private,Information Technology,66000,112000, NY
547,Data Scientist,3.4,"Infinitive Inc
3.4","McLean, VA","Cedar Rapids, IA",201 to 500 employees,Company - Private,Information Technology,66000,112000, VA
549,Data Scientist,3.3,"Amyris
3.3","Emeryville, CA","Emeryville, CA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,128000,201000, CA
562,Data Scientist,3.1,"Group O
3.1","Chicago, IL","Milan, IL",1001 to 5000 employees,Company - Private,Business Services,128000,201000, IL
569,Data Scientist,3.3,"MITRE
3.3","McLean, VA","Bedford, MA",5001 to 10000 employees,Nonprofit Organization,Government,128000,201000, VA
571,Data Scientist,4.5,"Fullpower Technologies, Inc.
4.5","Santa Cruz, CA","Santa Cruz, CA",51 to 200 employees,Company - Private,Information Technology,138000,158000, CA
573,Data Scientist,3.5,"Maxar Technologies
3.5","Herndon, VA","Westminster, CO",5001 to 10000 employees,Company - Public,Aerospace & Defense,138000,158000, VA
591,Data Scientist,4.0,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,80000,132000, MD
592,Data Scientist,4.0,"Autodesk
4.0","San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Information Technology,80000,132000, CA
568,Data Scientist,0,Kibo,"Philadelphia, PA","Marbella, Spain",Unknown,Company - Public,Unknown,128000,201000, PA
629,Data Scientist,4.7,"CRS Group
4.7","Chicago, IL","Itasca, IL",51 to 200 employees,Company - Private,Business Services,87000,141000, IL
633,Data Scientist,3.0,"Central Business Solutions, Inc
3.0","Seattle, WA","Fremont, CA",51 to 200 employees,Company - Private,Business Services,92000,155000, WA
634,Data Scientist,2.5,"KeHE Distributors
2.5","Naperville, IL","Naperville, IL",5001 to 10000 employees,Company - Private,Business Services,92000,155000, IL
636,Data Scientist,5.0,"Phoenix Operations Group
5.0","Baltimore, MD","Woodbine, MD",1 to 50 employees,Company - Private,Information Technology,92000,155000, MD
637,Data Scientist,0,Sophinea,"Chantilly, VA",Unknown,1 to 50 employees,Unknown,Unknown,92000,155000, VA
661,Data Scientist,3.6,"Qurate Retail Group
3.6","West Chester, PA","West Chester, PA",10000+ employees,Company - Public,Retail,105000,167000, PA
663,Data Scientist,4.1,"A-Line Staffing Solutions
4.1","Durham, NC","Utica, MI",501 to 1000 employees,Company - Private,Business Services,105000,167000, NC
153,Other,3.5,"Ritedose
3.5","Columbia, SC","Columbia, SC",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,90000,109000, SC
164,Other,3.4,"General Dynamics Information Technology
3.4","Vicksburg, MS","Fairfax, VA",10000+ employees,Subsidiary or Business Segment,Information Technology,101000,165000, MS
185,Data Scientist,3.7,"MassMutual
3.7","Boston, MA","Springfield, MA",5001 to 10000 employees,Company - Private,Insurance,56000,97000, MA
175,Machine Learning Scientist,3.3,"Tempus Labs
3.3","Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,101000,165000, IL
191,Data Engineer,4.1,"Shape Security
4.1","Santa Clara, CA","Mountain View, CA",51 to 200 employees,Company - Private,Information Technology,56000,97000, CA
37,Data Scientist,2.7,"A Place for Mom
2.7","Overland Park, KS","New York, NY",501 to 1000 employees,Company - Private,Health Care,75000,131000, KS
220,Data Analyst,3.1,"Security Finance Corporation of Spartanburg
3.1","Spartanburg, SC","Spartanburg, SC",1001 to 5000 employees,Company - Private,Finance,79000,106000, SC
59,Data Scientist,4.5,"Envision LLC
4.5","Saint Louis, MO","Saint Louis, MO",201 to 500 employees,Company - Private,Business Services,75000,131000, MO
510,Data Scientist,3.6,"Creative Circle
3.6",United States,"Los Angeles, CA",201 to 500 employees,Company - Public,Business Services,212000,331000,Other
79,Data Scientist,3.3,"Amyris
3.3","Emeryville, CA","Emeryville, CA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,79000,131000, CA
80,Data Scientist,4.0,"AstraZeneca
4.0","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,79000,131000, MD
81,Data Scientist,3.6,"Powertek
3.6","Washington, DC","Rockville, MD",51 to 200 employees,Company - Private,Information Technology,79000,131000, DC
83,Data Scientist,4.9,"The Mom Project
4.9","Longmont, CO","Chicago, IL",1 to 50 employees,Company - Private,Business Services,79000,131000, CO
84,Data Scientist,4.3,"Lightspeed Systems
4.3","Austin, TX","Austin, TX",51 to 200 employees,Company - Private,Information Technology,79000,131000, TX
109,Data Scientist,3.7,"SAIC
3.7","Chantilly, VA","Reston, VA",10000+ employees,Company - Public,Information Technology,99000,132000, VA
97,Data Scientist,3.9,"Mars
3.9","New York, NY","Mc Lean, VA",10000+ employees,Company - Private,Manufacturing,99000,132000, NY
172,Data Scientist,4.7,"C3.ai
4.7","Redwood City, CA","Redwood City, CA",201 to 500 employees,Company - Private,Information Technology,101000,165000, CA
173,Data Scientist,3.9,"Quartet Health
3.9","New York, NY","New York, NY",201 to 500 employees,Company - Private,Information Technology,101000,165000, NY
606,Data Scientist,4.4,"Meridian Knowledge Solutions
4.4","Washington, DC","Reston, VA",51 to 200 employees,Subsidiary or Business Segment,Information Technology,80000,132000, DC
199,Data Scientist,4.1,"Upside Business Travel
4.1",Remote,"Washington, DC",51 to 200 employees,Company - Private,Information Technology,79000,106000,Other
194,Data Scientist,4.0,"AstraZeneca
4.0","New York, NY","Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,56000,97000, NY
318,Data Analyst,4.6,"GreatAmerica Financial Services
4.6","Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,Company - Private,Finance,145000,225000, IA
325,Data Engineer,4.4,"Rocket Lawyer
4.4","San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Information Technology,79000,147000, CA
321,Other,3.9,"GSK
3.9","Richmond, VA","Brentford, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,145000,225000, VA
200,Data Scientist,3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL",51 to 200 employees,Company - Private,Business Services,79000,106000, IL
201,Data Scientist,4.1,"Coverent
4.1","McLean, VA","McLean, VA",51 to 200 employees,Company - Private,Business Services,79000,106000, VA
607,Data Scientist,4.2,"UST Global
4.2","Atlanta, GA","Aliso Viejo, CA",10000+ employees,Company - Private,Information Technology,80000,132000, GA
250,Data Scientist,3.7,"MassMutual
3.7","Boston, MA","Springfield, MA",5001 to 10000 employees,Company - Private,Insurance,90000,124000, MA
340,Data Analyst,3.8,"Dermalogica
3.8","Carson, CA","Carson, CA",201 to 500 employees,Subsidiary or Business Segment,Manufacturing,79000,147000, CA
330,Machine Learning Engineer,3.7,"Mteq
3.7","Fort Belvoir, VA","Lorton, VA",501 to 1000 employees,Company - Public,Aerospace & Defense,79000,147000, VA
332,Machine Learning Engineer,4.8,"Jane Street
4.8","New York, NY","New York, NY",501 to 1000 employees,Company - Private,Finance,79000,147000, NY
